                              Won  Lost  Tied    PF    PA   Rating    SOS
Southampton                     4     0     0   107    14   67.906    0.0
Bethel                          1     0     0    19     6   67.489    0.0
Parry McCluer                   4     0     0   131    22   65.979    0.0
Petersburg                      4     0     0    60    34   62.497    0.0
Hermitage                       1     0     0    19     6   59.966    0.0
Clintwood                       1     1     0    36    22   58.242    0.0
Western Albemarle               2     1     0    69    47   58.043    0.0
Hampton                         1     2     0    45    45   57.159    0.0
Jefferson Forest                3     1     0    55    29   57.144    0.0
Great Bridge                    9     1     1   223    96   57.068    0.0
Princess Anne                   8     4     1   254   188   56.291    0.0
Woodrow Wilson                  7     1     1   183    12   56.183    0.0
Frank Cox                       1     0     0    21     0   56.077    0.0
First Colonial                  8     2     0   211   108   55.908    0.0
Norview                         9     3     0   205   141   55.755    0.0
Washington & Lee                3     1     0    94    76   55.358    0.0
Indian River                    7     1     2   151    70   54.841    0.0
Jefferson/Huguenot/Wythe        1     1     0    10    14   54.647    0.0
Highland Springs                0     1     0     7    14   54.635    0.0
Patrick Henry(R)                3     1     0    45    31   54.279    0.0
Cox                             5     3     1   118   106   53.409    0.0
Maury                           7     3     0   200   157   53.236    0.0
James Monroe                    0     1     0    20    21   53.030    0.0
L.C. Bird                       0     1     0     6    38   52.889    0.0
Kempsville                      5     5     0   154   107   52.555    0.0
Lake Taylor                     5     5     0   128    89   52.349    0.0
Booker T. Washington            6     4     0   109   116   52.011    0.0
Abingdon                        2     1     0    49    16   51.087    0.0
York                            1     1     0    14    34   50.429    0.0
Stuarts Draft                   0     1     0     8    55   49.928    0.0
Western Branch                  5     5     0   136   112   49.807    0.0
Granby                          5     5     0   136   126   49.636    0.0
King William                    0     1     0    17    21   49.527    0.0
Central                         2     1     0    84    69   49.481    0.0
Marshall/Walker                 0     1     0     0     3   49.225    0.0
Mount Vernon                    2     1     0    47    37   48.416    0.0
Green Run                       4     4     0    82    69   48.167    0.0
Deep Creek                      5     5     0   109    95   48.027    0.0
Honaker                         1     1     0    32    41   47.809    0.0
Churchland                      4     5     1   137   108   47.630    0.0
Pulaski County                  1     1     0    14    13   46.861    0.0
Oscar Smith                     3     6     1    46    95   46.632    0.0
Bassett                         1     1     0    29    38   46.544    0.0
Norcom                          3     6     0    97   127   45.906    0.0
Haysi                           1     1     0    14    34   45.906    0.0
Manor                           3     7     0    91   179   45.228    0.0
New Kent                        1     1     0    24    41   44.534    0.0
Powhatan                        1     1     0    61    46   44.050    0.0
Kellam                          1     9     0    85   231   44.035    0.0
Stonewall Jackson(M)            0     1     0     0    13   43.717    0.0
Alleghany                       0     1     0     0    21   43.441    0.0
Norfolk Academy                 1     1     0    22    19   43.377    0.0
Annandale                       0     1     0    17    20   42.852    0.0
Ferguson                        0     1     0     0     6   42.729    0.0
Handley                         1     1     0    41    51   42.531    0.0
Bayside                         0    10     0    86   231   42.360    0.0
Rye Cove                        0     1     0     6     7   40.660    0.0
Blacksburg                      0     1     0     6    21   40.117    0.0
Amherst County                  0     1     0    14    21   39.688    0.0
Montevideo                      0     1     0    13    32   39.629    0.0
Robinson                        1     1     0    24    17   39.461    0.0
George Washington               0     1     0     0     7   39.414    0.0
Matoaca                         0     1     0     0    14   39.352    0.0
Norfolk Catholic                0     5     0    39   125   38.244    0.0
Onancock                        0     1     0     9    13   38.124    0.0
Narrows                         1     1     0    48    21   37.596    0.0
Madison County                  0     1     0    22    40   36.051    0.0
Warwick                         0     2     0     6    54   35.138    0.0
Cradock                         0    10     0    40   332   34.672    0.0
Auburn                          0     1     0     0    32   31.207    0.0
Orange                          0     1     0    11    35   31.089    0.0
Oakton                          0     1     0     0    17   27.211    0.0
Gate City                       0     1     0     0    48   18.604    0.0
